"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 17:24:43 MSK 2024","Wed May 29 17:24:48 MSK 2024","4463","","tests.RegistrationErrorTests","","tests.RegistrationErrorTests","invalidDataRegistrationTest","Ошибка при регистрации пользователя с паролем из пяти символов",""
"passed","Wed May 29 17:24:37 MSK 2024","Wed May 29 17:24:40 MSK 2024","3753","","tests.RedirectToLoginTests","","tests.RedirectToLoginTests","loginFromRegistrationPageTest","Вход через кнопку в форме регистрации",""
"passed","Wed May 29 17:24:30 MSK 2024","Wed May 29 17:24:33 MSK 2024","2674","","tests.RedirectToLoginTests","","tests.RedirectToLoginTests","loginFromPasswordRecoveryPageTest","Вход через кнопку в форме восстановления пароля",""
"passed","Wed May 29 17:24:20 MSK 2024","Wed May 29 17:24:23 MSK 2024","2960","","tests.ConstructorTests","","tests.ConstructorTests","openBunListTest","Переход к разделу Булки",""
"passed","Wed May 29 17:24:40 MSK 2024","Wed May 29 17:24:43 MSK 2024","2593","","tests.RedirectToLoginTests","","tests.RedirectToLoginTests","redirectUnauthorizedUserToLoginTest","Вход через кнопку «Личный кабинет»",""
"passed","Wed May 29 17:24:33 MSK 2024","Wed May 29 17:24:37 MSK 2024","3733","","tests.RedirectToLoginTests","","tests.RedirectToLoginTests","loginFromMainPageTest","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Wed May 29 17:24:48 MSK 2024","Wed May 29 17:24:51 MSK 2024","3820","","tests.RegistrationTests","","tests.RegistrationTests","validDataRegistrationTest","Успешная регистрация",""
"passed","Wed May 29 17:24:04 MSK 2024","Wed May 29 17:24:07 MSK 2024","2653","","tests.AuthorizationTests","","tests.AuthorizationTests","profileTest","Успешный вход в аккаунт",""
"passed","Wed May 29 17:24:07 MSK 2024","Wed May 29 17:24:15 MSK 2024","8343","","tests.ConstructorTests","","tests.ConstructorTests","openSauceListTest","Переход к разделу Соусы",""
"passed","Wed May 29 17:24:27 MSK 2024","Wed May 29 17:24:30 MSK 2024","3591","","tests.ProfilePageTests","","tests.ProfilePageTests","constructorClickTest","Переход из личного кабинета в конструктор по клику на Конструктор",""
"passed","Wed May 29 17:24:15 MSK 2024","Wed May 29 17:24:20 MSK 2024","4703","","tests.ConstructorTests","","tests.ConstructorTests","openFillingListTest","Переход к разделу Начинки",""
"passed","Wed May 29 17:24:23 MSK 2024","Wed May 29 17:24:27 MSK 2024","4020","","tests.ProfilePageTests","","tests.ProfilePageTests","logoClickTest","Переход из личного кабинета в конструктор по клику на лого",""
"passed","Wed May 29 17:23:48 MSK 2024","Wed May 29 17:24:04 MSK 2024","16272","","tests.AuthorizationTests","","tests.AuthorizationTests","logoutTest","Выход по кнопке «Выйти» в личном кабинете",""
